案由	编码				
十七、劳动争议	006001				
169、劳动合同纠纷	006001001				
（1）确认劳动关系纠纷	006001001001				
（2）集体合同纠纷	006001001002				
（3）劳务派遣合同纠纷	006001001003				
（4）非全日制用工纠纷	006001001004				
（5）追索劳动报酬纠纷	006001001005				
（6）经济补偿金纠纷	006001001006				
（7）竞业限制纠纷	006001001007				
170、社会保险纠纷	006001002				
（1）养老保险待遇纠纷	006001002001				
（2）工伤保险待遇纠纷	006001002002				
（3）医疗保险待遇纠纷	006001002003				
（4）生育保险待遇纠纷	006001002004				
（5）失业保险待遇纠纷	006001002005				
171、福利待遇纠纷	006001003				
十八、人事争议	006002				
172、人事争议	006002001				
（1）辞职争议	006002001001				
（2）辞退争议	006002001002				
（3）聘用合同争议	006002001003				
第七部分 海事海商纠纷	007				
十九、海事海商纠纷	007001				
173、船舶碰撞损害责任纠纷	007001001				
174、船舶触碰损害责任纠纷	007001002				
175、船舶损坏空中设施、水下设施损害责任纠纷	007001003				
176、船舶污染损害责任纠纷	007001004				
177、海上、通海水域污染损害责任纠纷	007001005				
178、海上、通海水域养殖损害责任纠纷	007001006				
179、海上、通海水域财产损害责任纠纷	007001007				
180、海上、通海水域人身损害责任纠纷	007001008				
181、非法留置船舶、船载货物、船用燃油、船用物料损害责任纠纷	007001009				
182、海上、通海水域货物运输合同纠纷	007001010				
183、海上、通海水域旅客运输合同纠纷	007001011				
184、海上、通海水域行李运输合同纠纷	007001012				
185、船舶经营管理合同纠纷	007001013				
186、船舶买卖合同纠纷	007001014				
187、船舶建造合同纠纷	007001015				
188、船舶修理合同纠纷	007001016				
189、船舶改建合同纠纷	007001017				
190、船舶拆解合同纠纷	007001018				
191、船舶抵押合同纠纷	007001019				
192、航次租船合同纠纷	007001020				
193、船舶租用合同纠纷	007001021				
（1）定期租船合同纠纷	007001021001				
（2）光船租赁合同纠纷	007001021002				
194、船舶融资租赁合同纠纷	007001022				
195、海上、通海水域运输船舶承包合同纠纷	007001023				
196、渔船承包合同纠纷	007001024				
197、船舶属具租赁合同纠纷	007001025				
198、船舶属具保管合同纠纷	007001026				
199、海运集装箱租赁合同纠纷	007001027				
200、海运集装箱保管合同纠纷	007001028				
201、港口货物保管合同纠纷	007001029				
202、船舶代理合同纠纷	007001030				
203、海上、通海水域货运代理合同纠纷	007001031				
204、理货合同纠纷	007001032				
205、船舶物料和备品供应合同纠纷	007001033				
206、船员劳务合同纠纷	007001034				
207、海难救助合同纠纷	007001035				
208、海上、通海水域打捞合同纠纷	007001036				
209、海上、通海水域拖航合同纠纷	007001037				
210、海上、通海水域保险合同纠纷	007001038				
211、海上、通海水域保赔合同纠纷	007001039				
212、海上、通海水域运输联营合同纠纷	007001040				
213、船舶营运借款合同纠纷	007001041				
214、海事担保合同纠纷	007001042				
215、航道、港口疏浚合同纠纷	007001043				
216、船坞、码头建造合同纠纷	007001044				
217、船舶检验合同纠纷	007001045				
218、海事请求担保纠纷	007001046				
219、海上、通海水域运输重大责任事故责任纠纷	007001047				
220、港口作业重大责任事故责任纠纷	007001048				
221、港口作业纠纷	007001049				
222、共同海损纠纷	007001050				
223、海洋开发利用纠纷	007001051				
224、船舶共有纠纷	007001052				
225、船舶权属纠纷	007001053				
226、海运欺诈纠纷	007001054				
227、海事债权确权纠纷	007001055				
第八部分 与公司、证券、保险、票据等有关的民事纠纷	008				
二十、与企业有关的纠纷	008001				
228、企业出资人权益确认纠纷	008001001				
229、侵害企业出资人权益纠纷	008001002				
230、企业公司制改造合同纠纷	008001003				
231、企业股份合作制改造合同纠纷	008001004				
232、企业债权转股权合同纠纷	008001005				
233、企业分立合同纠纷	008001006				
234、企业租赁经营合同纠纷	008001007				
235、企业出售合同纠纷	008001008				
236、挂靠经营合同纠纷	008001009				
237、企业兼并合同纠纷	008001010				
238、联营合同纠纷	008001011				
239、企业承包经营合同纠纷	008001012				
（1）中外合资经营企业承包经营合同纠纷	008001012001				
（2）中外合作经营企业承包经营合同纠纷	008001012002				
（3）外商独资企业承包经营合同纠纷	008001012003				
（4）乡镇企业承包经营合同纠纷	008001012004				
